Symbol,Date,Open,High,Low,Close,Adj Close,Volume
HINDUNILVR,15-12-2022,2668.350098,2683.25,2648.449951,2663.25,2641.674561,990722
HINDUNILVR,16-12-2022,2668,2687.699951,2653.300049,2671.300049,2649.659424,1793864
HINDUNILVR,19-12-2022,2671.300049,2720,2671.300049,2718.100098,2696.080322,1546941
HINDUNILVR,20-12-2022,2706,2706.050049,2653.25,2674.550049,2652.883057,827567
HINDUNILVR,21-12-2022,2687.949951,2695.149902,2650.100098,2666.199951,2644.600586,779092
HINDUNILVR,22-12-2022,2676.5,2688.5,2642,2645.350098,2623.919678,852567
HINDUNILVR,23-12-2022,2632,2649.550049,2608.050049,2621.100098,2599.866211,1189702
HINDUNILVR,26-12-2022,2620.949951,2637.850098,2606.75,2617.449951,2596.245605,605144
HINDUNILVR,27-12-2022,2625,2634.899902,2575.25,2593.25,2572.241699,870960
HINDUNILVR,28-12-2022,2593,2603.100098,2578.100098,2583.600098,2562.669922,822651
HINDUNILVR,29-12-2022,2580.25,2583.300049,2539.399902,2568.050049,2547.24585,1345863
HINDUNILVR,30-12-2022,2579.949951,2586.449951,2555.199951,2561.050049,2540.30249,696432
HINDUNILVR,02-01-2023,2573.899902,2580.050049,2538.050049,2558.399902,2537.673828,681703
HINDUNILVR,03-01-2023,2550.050049,2562,2535,2542.050049,2521.456543,821843
HINDUNILVR,04-01-2023,2550.5,2558.399902,2527.050049,2536.100098,2515.554688,1672649
HINDUNILVR,05-01-2023,2537.550049,2591.949951,2537.5,2583.699951,2562.769043,2008493
HINDUNILVR,06-01-2023,2580,2611.899902,2574.899902,2576.449951,2555.577637,991782
HINDUNILVR,09-01-2023,2589.350098,2629.449951,2570,2624.050049,2602.792236,1267078
HINDUNILVR,10-01-2023,2624.050049,2653.350098,2615.100098,2643.850098,2622.431885,1413088
HINDUNILVR,11-01-2023,2644,2647.850098,2588.100098,2593.25,2572.241699,1471687
HINDUNILVR,12-01-2023,2586.100098,2602.600098,2572.75,2590.050049,2569.067627,1703829
HINDUNILVR,13-01-2023,2590.199951,2639.25,2566.649902,2624,2602.742432,1348015
HINDUNILVR,16-01-2023,2627.949951,2627.949951,2584,2597.100098,2576.060547,930068
